data,ano,mes,mes_nome,trimestre,ano_mes
2017-07-01,2017,7,Jul,3,2017-07
2017-08-01,2017,8,Aug,3,2017-08
2017-09-01,2017,9,Sep,3,2017-09
2017-10-01,2017,10,Oct,4,2017-10
2017-11-01,2017,11,Nov,4,2017-11
2017-12-01,2017,12,Dec,4,2017-12
2018-01-01,2018,1,Jan,1,2018-01
2018-02-01,2018,2,Feb,1,2018-02
2018-03-01,2018,3,Mar,1,2018-03
2018-04-01,2018,4,Apr,2,2018-04
2018-05-01,2018,5,May,2,2018-05
2018-06-01,2018,6,Jun,2,2018-06
2018-07-01,2018,7,Jul,3,2018-07
2018-08-01,2018,8,Aug,3,2018-08
2018-09-01,2018,9,Sep,3,2018-09
2018-10-01,2018,10,Oct,4,2018-10
2018-11-01,2018,11,Nov,4,2018-11
2018-12-01,2018,12,Dec,4,2018-12
2019-01-01,2019,1,Jan,1,2019-01
2019-02-01,2019,2,Feb,1,2019-02
2019-03-01,2019,3,Mar,1,2019-03
2019-04-01,2019,4,Apr,2,2019-04
2019-05-01,2019,5,May,2,2019-05
2019-06-01,2019,6,Jun,2,2019-06
2019-07-01,2019,7,Jul,3,2019-07
2019-08-01,2019,8,Aug,3,2019-08
2019-09-01,2019,9,Sep,3,2019-09
2019-10-01,2019,10,Oct,4,2019-10
2019-11-01,2019,11,Nov,4,2019-11
2019-12-01,2019,12,Dec,4,2019-12
2020-01-01,2020,1,Jan,1,2020-01
2020-02-01,2020,2,Feb,1,2020-02
2020-03-01,2020,3,Mar,1,2020-03
2020-04-01,2020,4,Apr,2,2020-04
2020-05-01,2020,5,May,2,2020-05
2020-06-01,2020,6,Jun,2,2020-06
2020-07-01,2020,7,Jul,3,2020-07
2020-08-01,2020,8,Aug,3,2020-08
2020-09-01,2020,9,Sep,3,2020-09
2020-10-01,2020,10,Oct,4,2020-10
2020-11-01,2020,11,Nov,4,2020-11
2020-12-01,2020,12,Dec,4,2020-12
2021-01-01,2021,1,Jan,1,2021-01
2021-02-01,2021,2,Feb,1,2021-02
2021-03-01,2021,3,Mar,1,2021-03
2021-04-01,2021,4,Apr,2,2021-04
2021-05-01,2021,5,May,2,2021-05
2021-06-01,2021,6,Jun,2,2021-06
2021-07-01,2021,7,Jul,3,2021-07
2021-08-01,2021,8,Aug,3,2021-08
2021-09-01,2021,9,Sep,3,2021-09
2021-10-01,2021,10,Oct,4,2021-10
2021-11-01,2021,11,Nov,4,2021-11
2021-12-01,2021,12,Dec,4,2021-12
2022-01-01,2022,1,Jan,1,2022-01
2022-02-01,2022,2,Feb,1,2022-02
2022-03-01,2022,3,Mar,1,2022-03
2022-04-01,2022,4,Apr,2,2022-04
2022-05-01,2022,5,May,2,2022-05
2022-06-01,2022,6,Jun,2,2022-06
2022-07-01,2022,7,Jul,3,2022-07
2022-08-01,2022,8,Aug,3,2022-08
2022-09-01,2022,9,Sep,3,2022-09
2022-10-01,2022,10,Oct,4,2022-10
2022-11-01,2022,11,Nov,4,2022-11
2022-12-01,2022,12,Dec,4,2022-12
2023-01-01,2023,1,Jan,1,2023-01
2023-02-01,2023,2,Feb,1,2023-02
2023-03-01,2023,3,Mar,1,2023-03
2023-04-01,2023,4,Apr,2,2023-04
2023-05-01,2023,5,May,2,2023-05
2023-06-01,2023,6,Jun,2,2023-06
2023-07-01,2023,7,Jul,3,2023-07
2023-08-01,2023,8,Aug,3,2023-08
2023-09-01,2023,9,Sep,3,2023-09
2023-10-01,2023,10,Oct,4,2023-10
2023-11-01,2023,11,Nov,4,2023-11
2023-12-01,2023,12,Dec,4,2023-12
2024-01-01,2024,1,Jan,1,2024-01
2024-02-01,2024,2,Feb,1,2024-02
2024-03-01,2024,3,Mar,1,2024-03
2024-04-01,2024,4,Apr,2,2024-04
2024-05-01,2024,5,May,2,2024-05
2024-06-01,2024,6,Jun,2,2024-06
2024-07-01,2024,7,Jul,3,2024-07
2024-08-01,2024,8,Aug,3,2024-08
2024-09-01,2024,9,Sep,3,2024-09
2024-10-01,2024,10,Oct,4,2024-10
2024-11-01,2024,11,Nov,4,2024-11
2024-12-01,2024,12,Dec,4,2024-12
2026-01-01,2026,1,Jan,1,2026-01
2026-02-01,2026,2,Feb,1,2026-02
2026-03-01,2026,3,Mar,1,2026-03
2026-04-01,2026,4,Apr,2,2026-04
2026-05-01,2026,5,May,2,2026-05
2026-06-01,2026,6,Jun,2,2026-06
2026-07-01,2026,7,Jul,3,2026-07
2026-08-01,2026,8,Aug,3,2026-08
2026-09-01,2026,9,Sep,3,2026-09
2026-10-01,2026,10,Oct,4,2026-10
2026-11-01,2026,11,Nov,4,2026-11
2026-12-01,2026,12,Dec,4,2026-12
